City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kapaa,US,2021-04-11 18:31:29,22.0752,-159.319,71.01,83,75,5.75
68,Tiksi,RU,2021-04-11 18:21:33,71.6872,128.8694,-0.63,76,96,6.96
69,Maragogi,BR,2021-04-11 18:31:30,-9.0122,-35.2225,79.83,81,100,8.81
70,Ishigaki,JP,2021-04-11 18:31:30,24.3448,124.1572,73.06,79,76,20.18
71,Srednekolymsk,RU,2021-04-11 18:31:30,67.45,153.6833,-31.81,100,100,1.07
72,Belmonte,BR,2021-04-11 18:31:31,-15.8631,-38.8828,82.4,89,75,2.3
73,Manzhouli,CN,2021-04-11 18:28:36,49.6,117.4333,29.53,33,100,14.47
74,Tsiroanomandidy,MG,2021-04-11 18:31:31,-18.7667,46.0333,69.31,78,100,2.59
75,Busselton,AU,2021-04-11 18:27:56,-33.65,115.3333,61.0,98,100,1.01
76,Botwood,CA,2021-04-11 18:31:32,49.1499,-55.3482,44.01,94,100,7.0
77,Erzin,TR,2021-04-11 18:31:32,36.9559,36.2,52.0,72,39,2.19
78,Vila Velha,BR,2021-04-11 18:22:59,-20.3297,-40.2925,84.2,58,0,10.36
79,Nome,US,2021-04-11 18:23:29,64.5011,-165.4064,21.99,86,90,23.02
80,Aksarka,RU,2021-04-11 18:21:56,66.5606,67.7975,31.57,98,100,14.5
81,Black River,JM,2021-04-11 18:31:33,18.0264,-77.8487,84.2,74,75,5.75
82,Sakakah,SA,2021-04-11 18:22:59,29.9697,40.2064,62.6,23,0,3.44
83,Russell,US,2021-04-11 18:31:33,32.3502,-85.1999,75.99,46,1,4.61
84,Iqaluit,CA,2021-04-11 18:22:26,63.7506,-68.5145,26.6,93,90,23.02
85,Plettenberg Bay,ZA,2021-04-11 18:31:33,-34.0527,23.3716,62.76,83,100,3.0
86,Dicabisagan,PH,2021-04-11 18:37:29,17.0818,122.4157,74.32,83,100,4.63
87,Airai,TL,2021-04-11 18:37:29,-8.9266,125.4092,57.96,87,29,1.92
88,Dingle,PH,2021-04-11 18:37:30,10.9995,122.6711,75.22,84,99,6.31
89,Rocha,UY,2021-04-11 18:37:30,-34.4833,-54.3333,63.73,82,100,27.09
90,Buin,CL,2021-04-11 18:37:30,-33.7333,-70.75,78.8,20,0,3.44
91,Paamiut,GL,2021-04-11 18:37:31,61.994,-49.6678,36.18,80,7,9.33
92,Moindou,NC,2021-04-11 18:37:31,-21.6924,165.677,73.4,100,90,4.61
93,Tezu,IN,2021-04-11 18:34:53,27.9167,96.1667,74.28,47,87,5.1
94,Hope,US,2021-04-11 18:37:31,33.6671,-93.5916,71.01,31,0,5.01
95,Kruisfontein,ZA,2021-04-11 18:36:37,-34.0033,24.7314,62.01,82,100,1.99
96,Sorong,ID,2021-04-11 18:37:32,-0.8833,131.25,80.42,79,100,4.05
97,Ciofrangeni,RO,2021-04-11 18:37:32,45.0833,24.5333,43.65,72,11,2.57
98,Lazaro Cardenas,MX,2021-04-11 18:35:33,17.9583,-102.2,83.16,55,0,12.46
99,Robe,AU,2021-04-11 18:37:32,-37.1833,139.75,56.43,66,67,8.84
100,Waw,SS,2021-04-11 18:37:33,7.7029,27.9953,88.52,31,100,4.07
101,Mehamn,NO,2021-04-11 18:37:33,71.0357,27.8492,35.6,69,75,34.52
102,Novyy Urengoy,RU,2021-04-11 18:37:33,66.0833,76.6333,32.0,98,100,13.29
103,Sumenep,ID,2021-04-11 18:37:34,-7.0167,113.8667,78.94,82,55,1.45
104,Fare,PF,2021-04-11 18:37:34,-16.7,-151.0167,81.91,75,100,11.95
105,Garden City,US,2021-04-11 18:36:19,42.3256,-83.331,55.99,67,90,12.66
106,Hambantota,LK,2021-04-11 18:37:35,6.1241,81.1185,77.0,100,0,2.3
107,San Quintin,MX,2021-04-11 18:37:35,30.4833,-115.95,64.47,65,66,10.69
108,Irtyshskiy,RU,2021-04-11 18:37:36,58.3333,68.1333,43.93,82,100,11.7
109,Avera,US,2021-04-11 18:37:36,33.194,-82.5271,77.0,78,75,12.66
110,Sisimiut,GL,2021-04-11 18:37:36,66.9395,-53.6735,33.94,74,91,12.03
111,Suntar,RU,2021-04-11 18:37:37,62.1444,117.6319,0.41,99,86,3.31
112,Yueyang,CN,2021-04-11 18:37:37,29.3333,113.0919,56.64,97,100,4.79
113,Laranjeiras Do Sul,BR,2021-04-11 18:37:37,-25.4078,-52.4161,82.11,40,4,6.58
114,Toktogul,KG,2021-04-11 18:37:38,41.8708,72.9402,50.43,77,95,2.1
115,Sarata,UA,2021-04-11 18:37:38,46.0197,29.6657,49.96,47,56,7.14
