City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Souillac,MU,-20.5167,57.5167,77.0,94,75,6.91,broken clouds
79,Hamilton,US,39.1834,-84.5333,53.01,76,90,11.5,overcast clouds
80,Talcahuano,CL,-36.7167,-73.1167,66.2,68,0,16.11,clear sky
81,Saint George,US,37.1041,-113.5841,84.0,7,1,14.97,clear sky
82,Atbasar,KZ,51.8,68.3333,27.57,94,43,5.41,scattered clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,2,11.56,clear sky
84,Berlevag,NO,70.8578,29.0864,34.3,71,74,29.04,snow
85,Itarema,BR,-2.9248,-39.9167,79.65,80,100,11.61,overcast clouds
86,Kavieng,PG,-2.5744,150.7967,78.57,83,100,1.97,light rain
87,Butaritari,KI,3.0707,172.7902,81.28,76,32,9.37,scattered clouds
88,San Quintin,MX,30.4833,-115.95,62.67,70,79,9.51,broken clouds
89,Atuona,PF,-9.8,-139.0333,80.6,77,18,17.02,few clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,63.0,72,0,3.44,clear sky
91,Denpasar,ID,-8.65,115.2167,80.6,83,20,5.75,few clouds
92,Ribeira Grande,PT,38.5167,-28.7,62.6,86,82,13.44,broken clouds
93,Sosva,RU,59.1766,61.8558,37.8,96,100,4.59,overcast clouds
94,Qui Nhon,VN,13.7667,109.2333,75.09,86,8,5.57,clear sky
95,Ambilobe,MG,-13.2,49.05,72.86,92,96,2.91,overcast clouds
96,Male,MV,4.1748,73.5089,84.2,79,20,2.3,few clouds
97,Guane,CU,22.2025,-84.0875,83.61,65,35,10.83,scattered clouds
98,Fauske,NO,67.2588,15.3918,34.0,92,100,8.7,light snow
99,Carnarvon,AU,-24.8667,113.6333,78.8,83,90,12.66,overcast clouds
100,Silikatnyy,RU,53.9896,48.3275,39.2,100,90,6.71,mist
101,Busselton,AU,-33.65,115.3333,61.0,99,99,19.55,overcast clouds
102,Aktash,RU,50.3,87.7333,9.63,73,3,4.32,clear sky
103,Amurzet,RU,47.6967,131.0981,42.94,89,100,4.99,overcast clouds
104,Bichura,RU,50.5881,107.6022,21.6,61,13,3.94,few clouds
105,Banes,CU,20.9625,-75.7186,93.2,38,20,9.22,few clouds
106,Bambanglipuro,ID,-7.95,110.2833,76.26,91,71,3.09,light rain
107,Biak,ID,-0.9131,122.8766,78.66,78,93,1.25,overcast clouds
108,Polewali,ID,-3.4324,119.3435,77.52,80,94,2.53,overcast clouds
109,Llanes,ES,43.4198,-4.7549,46.0,99,56,4.14,broken clouds
110,Tucuman,AR,-26.8241,-65.2226,68.0,64,0,3.44,clear sky
111,Westerland,DE,54.9079,8.3033,37.99,81,40,21.85,scattered clouds
112,Port Alfred,ZA,-33.5906,26.891,65.66,91,79,3.29,broken clouds
113,Vaini,TO,-21.2,-175.2,80.6,69,20,5.75,few clouds
114,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
115,Kindu,CD,-2.95,25.95,68.09,98,97,1.3,overcast clouds
116,Sept-Iles,CA,50.2001,-66.3821,55.4,58,75,5.75,broken clouds
117,Aktas,KZ,49.7789,72.9608,30.2,74,0,4.47,clear sky
118,Prudyanka,UA,50.2361,36.1683,51.8,37,90,11.18,light rain
119,Soyo,AO,-6.1349,12.3689,79.02,81,77,3.51,broken clouds
120,Nouadhibou,MR,20.931,-17.0347,68.0,68,0,17.27,clear sky
121,Georgetown,MY,5.4112,100.3354,80.6,94,40,2.3,scattered clouds
122,Hasaki,JP,35.7333,140.8333,57.2,62,20,6.91,few clouds
123,Avarua,CK,-21.2078,-159.775,82.4,78,40,5.75,light rain
124,Kadi,IN,23.3,72.3333,84.2,23,0,3.44,smoke
125,Qaanaaq,GL,77.484,-69.3632,23.05,94,100,9.69,snow
126,Sao Filipe,CV,14.8961,-24.4956,75.07,67,0,8.12,clear sky
127,Iralaya,HN,15.0,-83.2333,86.0,79,75,11.5,smoke
128,Quelimane,MZ,-17.8786,36.8883,77.0,94,40,3.44,scattered clouds
129,Antofagasta,CL,-23.65,-70.4,62.6,77,40,14.97,scattered clouds
130,Pevek,RU,69.7008,170.3133,-13.32,98,100,5.19,overcast clouds
131,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,4.61,clear sky
132,Khor,RU,47.8861,134.9464,45.7,81,100,5.35,light rain
