City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
230,Guiratinga,BR,75.9,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
231,Karratha,AU,82.83,broken clouds,-20.7377,116.8463,ibis Styles Karratha
235,Faanui,PF,82.36,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
237,Limbang,MY,75.2,broken clouds,4.75,115.0,Purnama Hotel
241,Caucaia,BR,78.8,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
244,Jardim,BR,77.11,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
245,Dzilam Gonzalez,MX,83.07,clear sky,21.2833,-88.9333,posadas
246,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
249,Lagos,NG,82.4,moderate rain,6.5833,3.75,
251,Poum,NC,77.41,light rain,-20.2333,164.0167,Gîte kajeon
252,Cukai,MY,77.0,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
257,Avera,US,77.0,clear sky,33.194,-82.5271,
258,Ko Samui,TH,84.07,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
261,Khetia,IN,84.31,broken clouds,21.6667,74.5833,Mastana Hotel
264,Wahiawa,US,78.01,light rain,21.5028,-158.0236,Aloha Wahiawa
268,Huatulco,MX,87.01,clear sky,15.8436,-96.3267,Fonatur Operadora Portuaría
275,Porto Nacional,BR,82.4,few clouds,-10.7081,-48.4172,Vila Real Hotel
276,Marsh Harbour,BS,76.62,moderate rain,26.5412,-77.0636,Abaco Beach Resort
280,Ternate,ID,80.92,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
282,Yaring,TH,78.39,clear sky,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
284,Lorengau,PG,77.4,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
285,Bilma,NE,82.8,clear sky,18.6853,12.9164,Expeditions Ténére voyages
287,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
290,Itacoatiara,BR,75.56,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
298,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
299,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
301,Mayumba,GA,79.16,light rain,-3.432,10.6554,LIKWALE LODGE
307,Namatanai,PG,80.06,light rain,-3.6667,152.4333,Namatanai Hotel
308,Varadero,CU,87.8,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
310,Manuk Mangkaw,PH,82.96,broken clouds,4.8,119.85,
